renal cell carcinoma
lung cancer
breast cancer
pancreatic carcinoma
head and neck (squamous cell) carcinoma
lung cancer (lung adenocarcinoma)
alzheimer disease
"cardiovascular diseases (cdc,cf,ccs) cardicregeneration"
head and neck cancer
gastric cancer
colon cancer
non small cell lung carcinoma (nsclc)
prostate cancer
dysplastic liver nodules and hepatocellular carcinoma
rheumatoid arthritis
testicular germ cell carcinoma
endometrial carcinogenesis
male infertility
leukemia
heart stroke
ovarian cancer
